tempo,coletas,entregas,colisoes,manutencoes
10.0,6,5,61,5
20.0,12,11,124,8
30.0,13,13,195,16
40.0,14,14,285,24
50.0,15,15,363,33
60.1,15,15,549,36
70.1,19,17,615,45
80.1,22,21,646,50
90.1,23,23,682,57
100.1,26,24,722,65
110.1,28,27,769,72
